 Date,NKE Price Target,NKE Price Target - High,NKE Price Target - Low,NKE Price Target - StdDev,NKE Price Target - Median,NKE Open,NKE Low,NKE High,NKE Close,NKE Adj. Close,NKE Rating,NKE Price Target - #,Ticker
08-21-2013,33.09091,40.0,26.5,3.09558,33.75,29.105049940862497,28.866151435850004,29.2943657372875,32.065,28.906719106512497,3.85714,22,NKE
08-22-2013,33.09091,40.0,26.5,3.09558,33.75,28.893196549625,28.803046170375,29.3755010786125,32.43,29.235767990775,3.85714,22,NKE
08-23-2013,33.09091,40.0,26.5,3.09558,33.75,29.3755010786125,28.803046170375,29.398038673425,32.105,28.942779258212497,3.85714,22,NKE
08-26-2013,33.09091,40.0,26.5,3.09558,33.75,28.93827173925,28.8120612083,29.0870198650125,31.96,28.8120612083,3.85714,22,NKE
08-27-2013,33.09091,40.0,26.5,3.09558,33.75,28.514564956775,28.3027115655375,28.730925866975003,31.405,28.3117266034625,3.85714,22,NKE
08-28-2013,33.09091,40.0,26.5,3.09558,33.75,28.2711589328,28.2396063000625,28.712895791125003,31.685,28.564147665362498,3.85714,22,NKE
08-29-2013,33.09091,40.0,26.5,3.09558,33.75,28.4872650640865,28.437517498488,28.880723082911,31.74,28.708867856298,3.85714,22,NKE
08-30-2013,33.09091,40.0,26.5,3.09558,33.75,28.8128854934585,28.31088733151,28.8490655411665,31.41,28.410382462707,3.85714,22,NKE
09-03-2013,33.09091,40.0,26.5,3.09558,33.75,28.767660433823497,28.717912868225,29.351063703115003,32.145,29.075190839341506,3.85714,22,NKE
09-04-2013,33.09091,40.0,26.5,3.09558,33.75,29.0932808631955,29.079713345305,29.61563030197975,32.565,29.4550813402755,3.85714,22,NKE
09-05-2013,33.09091,40.0,26.5,3.09558,33.75,29.39628876275,29.256091077881496,29.65633285565125,32.69,29.568143989363,3.85714,22,NKE
09-06-2013,33.09091,40.0,26.5,3.09558,33.75,29.57718900129,29.0209207677795,29.645026590742496,32.49,29.387243750823,3.85714,22,NKE
09-09-2013,33.09091,40.0,26.5,3.09558,33.75,29.423423798531,29.364631221005503,29.6631166145965,32.7,29.57718900129,3.85714,22,NKE
09-10-2013,33.09091,40.0,26.5,3.09558,33.75,30.165114776545,29.830449335245994,30.291744943523,33.41,30.219384848106998,3.85714,22,NKE
09-11-2013,33.09091,40.0,26.5,3.09558,33.75,30.291744943523,30.219384848106998,30.67159021939737,33.795,30.5676178072965,3.85714,22,NKE
09-12-2013,33.25,40.0,26.5,3.12523,34.0,30.734950527945998,30.66259043253,31.160066088515,34.04,30.789220599508,3.85714,22,NKE
09-13-2013,33.25,40.0,26.5,3.12523,34.0,30.707815492165,30.3867175687565,30.816355635289,33.955,30.712337998128497,3.85714,22,NKE
09-16-2013,33.25,40.0,26.5,3.12523,34.0,31.0922284990625,30.712337998128497,31.123886040806997,34.095,30.838968165106497,3.85714,22,NKE
09-17-2013,33.25,40.0,26.5,3.12523,34.0,30.834445659143,30.743995539873,31.0560484513545,34.16,30.897760742631995,3.85714,22,NKE
09-18-2013,33.45455,40.0,26.5,3.30945,34.0,30.739473033909498,30.7213830100555,31.589704155047496,34.74,31.422371434398,3.85714,22,NKE
09-19-2013,33.59091,40.0,26.5,3.18247,34.0,31.55352410733949,31.1193635348435,31.910802078456,34.75,31.431416446325,3.85714,22,NKE
